time,eto
2016-01-01,0.798
2016-01-02,1.33
2016-01-03,1.508
2016-01-04,0.798
2016-01-05,0.709
2016-01-06,0.798
2016-01-07,0.621
2016-01-08,0.798
2016-01-09,1.33
2016-01-10,0.976
2016-01-11,1.064
2016-01-12,1.153
2016-01-13,1.685
2016-01-14,0.798
2016-01-15,0.976
2016-01-16,1.153
2016-01-17,0.798
2016-01-18,1.242
2016-01-19,0.621
2016-01-20,1.064
2016-01-21,0.976
2016-01-22,1.064
2016-01-23,1.153
2016-01-24,0.887
2016-01-25,1.064
2016-01-26,1.153
2016-01-27,1.064
2016-01-28,0.709
2016-01-29,0.887
2016-01-30,1.064
2016-01-31,1.862
2016-02-01,3.507
2016-02-02,2.566
2016-02-03,2.566
2016-02-04,1.967
2016-02-05,1.625
2016-02-06,2.053
2016-02-07,1.967
2016-02-08,2.138
2016-02-09,2.224
2016-02-10,1.625
2016-02-11,1.454
2016-02-12,1.54
2016-02-13,1.967
2016-02-14,2.994
2016-02-15,2.138
2016-02-16,2.053
2016-02-17,1.625
2016-02-18,2.31
2016-02-19,1.711
2016-02-20,2.823
2016-02-21,2.566
2016-02-22,1.882
2016-02-23,1.454
2016-02-24,1.54
2016-02-25,1.454
2016-02-26,1.54
2016-02-27,1.711
2016-02-28,1.967
2016-02-29,1.711
2016-03-01,2.886
2016-03-02,2.274
2016-03-03,1.574
2016-03-04,2.012
2016-03-05,1.662
2016-03-06,2.361
2016-03-07,1.487
2016-03-08,1.837
2016-03-09,2.274
2016-03-10,2.449
2016-03-11,1.924
2016-03-12,2.449
2016-03-13,1.749
2016-03-14,2.099
2016-03-15,2.886
2016-03-16,2.974
2016-03-17,2.886
2016-03-18,3.324
2016-03-19,3.149
2016-03-20,3.324
2016-03-21,2.449
2016-03-22,3.236
2016-03-23,3.498
2016-03-24,3.673
2016-03-25,3.848
2016-03-26,4.023
2016-03-27,3.324
2016-03-28,3.149
2016-03-29,3.498
2016-03-30,3.761
2016-03-31,3.848
2016-04-01,3.694
2016-04-02,3.522
2016-04-03,4.124
2016-04-04,4.553
2016-04-05,4.725
2016-04-06,4.21
2016-04-07,4.467
2016-04-08,3.608
2016-04-09,1.89
2016-04-10,1.632
2016-04-11,2.749
2016-04-12,3.608
2016-04-13,3.866
2016-04-14,3.694
2016-04-15,5.413
2016-04-16,4.296
2016-04-17,4.725
2016-04-18,4.467
2016-04-19,4.553
2016-04-20,5.069
2016-04-21,4.725
2016-04-22,3.179
2016-04-23,4.124
2016-04-24,4.553
2016-04-25,5.155
2016-04-26,4.382
2016-04-27,3.694
2016-04-28,5.069
2016-04-29,4.553
2016-04-30,6.701
2016-05-01,4.959
2016-05-02,5.044
2016-05-03,4.788
2016-05-04,4.702
2016-05-05,3.933
2016-05-06,2.736
2016-05-07,2.223
2016-05-08,2.736
2016-05-09,4.275
2016-05-10,5.472
2016-05-11,5.472
2016-05-12,6.07
2016-05-13,5.215
2016-05-14,5.215
2016-05-15,5.813
2016-05-16,6.754
2016-05-17,7.267
2016-05-18,7.096
2016-05-19,5.386
2016-05-20,4.36
2016-05-21,3.505
2016-05-22,4.788
2016-05-23,4.36
2016-05-24,4.702
2016-05-25,5.728
2016-05-26,5.984
2016-05-27,6.155
2016-05-28,6.583
2016-05-29,7.096
2016-05-30,7.181
2016-05-31,7.523
2016-06-01,7.109
2016-06-02,7.363
2016-06-03,7.194
2016-06-04,6.855
2016-06-05,7.871
2016-06-06,7.194
2016-06-07,6.77
2016-06-08,6.432
2016-06-09,5.924
2016-06-10,6.432
2016-06-11,5.924
2016-06-12,6.855
2016-06-13,6.178
2016-06-14,5.67
2016-06-15,5.247
2016-06-16,5.501
2016-06-17,5.501
2016-06-18,5.67
2016-06-19,6.263
2016-06-20,7.786
2016-06-21,8.378
2016-06-22,7.871
2016-06-23,7.786
2016-06-24,7.447
2016-06-25,8.378
2016-06-26,8.717
2016-06-27,8.04
2016-06-28,8.632
2016-06-29,8.124
2016-06-30,7.532
2016-07-01,7.312
2016-07-02,6.892
2016-07-03,7.396
2016-07-04,7.144
2016-07-05,6.639
2016-07-06,6.555
2016-07-07,6.303
2016-07-08,6.724
2016-07-09,6.135
2016-07-10,6.555
2016-07-11,7.396
2016-07-12,7.06
2016-07-13,7.564
2016-07-14,7.984
2016-07-15,7.48
2016-07-16,6.639
2016-07-17,6.555
2016-07-18,6.051
2016-07-19,6.555
2016-07-20,6.808
2016-07-21,6.976
2016-07-22,7.984
2016-07-23,9.161
2016-07-24,7.732
2016-07-25,7.228
2016-07-26,8.068
2016-07-27,8.741
2016-07-28,9.077
2016-07-29,8.993
2016-07-30,7.732
2016-07-31,7.06
2016-08-01,6.437
2016-08-02,6.85
2016-08-03,7.51
2016-08-04,6.603
2016-08-05,5.695
2016-08-06,6.025
2016-08-07,6.355
2016-08-08,6.603
2016-08-09,6.19
2016-08-10,5.942
2016-08-11,6.19
2016-08-12,6.52
2016-08-13,6.768
2016-08-14,6.933
2016-08-15,6.437
2016-08-16,6.025
2016-08-17,6.107
2016-08-18,5.447
2016-08-19,5.86
2016-08-20,6.355
2016-08-21,6.107
2016-08-22,5.942
2016-08-23,6.19
2016-08-24,6.768
2016-08-25,6.19
2016-08-26,5.365
2016-08-27,5.282
2016-08-28,5.365
2016-08-29,6.025
2016-08-30,5.86
2016-08-31,5.695
2016-09-01,5.23
2016-09-02,5.312
2016-09-03,4.822
2016-09-04,4.168
2016-09-05,5.149
2016-09-06,5.476
2016-09-07,5.721
2016-09-08,5.557
2016-09-09,5.639
2016-09-10,6.048
2016-09-11,5.149
2016-09-12,4.086
2016-09-13,3.351
2016-09-14,3.923
2016-09-15,4.495
2016-09-16,5.067
2016-09-17,5.476
2016-09-18,4.904
2016-09-19,5.803
2016-09-20,4.822
2016-09-21,3.841
2016-09-22,4.168
2016-09-23,5.067
2016-09-24,4.577
2016-09-25,3.678
2016-09-26,4.413
2016-09-27,4.822
2016-09-28,4.985
2016-09-29,4.577
2016-09-30,4.413
2016-10-01,4.211
2016-10-02,3.781
2016-10-03,1.633
2016-10-04,3.266
2016-10-05,3.953
2016-10-06,4.383
2016-10-07,3.695
2016-10-08,3.266
2016-10-09,3.609
2016-10-10,3.523
2016-10-11,3.094
2016-10-12,3.266
2016-10-13,2.32
2016-10-14,1.547
2016-10-15,2.234
2016-10-16,1.031
2016-10-17,2.063
2016-10-18,2.922
2016-10-19,3.352
2016-10-20,2.664
2016-10-21,2.578
2016-10-22,2.75
2016-10-23,2.492
2016-10-24,2.75
2016-10-25,2.063
2016-10-26,2.406
2016-10-27,1.203
2016-10-28,0.859
2016-10-29,1.805
2016-10-30,1.375
2016-10-31,1.633
2016-11-01,1.853
2016-11-02,1.853
2016-11-03,1.684
2016-11-04,1.6
2016-11-05,1.937
2016-11-06,1.516
2016-11-07,1.6
2016-11-08,1.6
2016-11-09,2.106
2016-11-10,1.853
2016-11-11,1.684
2016-11-12,2.106
2016-11-13,1.6
2016-11-14,1.432
2016-11-15,1.516
2016-11-16,1.769
2016-11-17,1.684
2016-11-18,2.442
2016-11-19,3.453
2016-11-20,0.674
2016-11-21,0.842
2016-11-22,0.926
2016-11-23,1.179
2016-11-24,0.842
2016-11-25,1.179
2016-11-26,1.011
2016-11-27,1.011
2016-11-28,0.758
2016-11-29,0.758
2016-11-30,1.011
2016-12-01,1.663
2016-12-02,2.539
2016-12-03,1.138
2016-12-04,1.313
2016-12-05,0.788
2016-12-06,1.138
2016-12-07,0.963
2016-12-08,1.751
2016-12-09,1.926
2016-12-10,0.7
2016-12-11,0.438
2016-12-12,0.875
2016-12-13,0.963
2016-12-14,1.488
2016-12-15,0.175
2016-12-16,0.7
2016-12-17,1.051
2016-12-18,0.875
2016-12-19,0.7
2016-12-20,0.613
2016-12-21,0.963
2016-12-22,0.875
2016-12-23,0.438
2016-12-24,0.788
2016-12-25,1.051
2016-12-26,0.875
2016-12-27,0.875
2016-12-28,1.051
2016-12-29,0.963
2016-12-30,0.963
2016-12-31,0.263
2017-01-01,0.798
2017-01-02,0.976
2017-01-03,0.976
2017-01-04,0.887
2017-01-05,0.355
2017-01-06,0.887
2017-01-07,1.862
2017-01-08,1.596
2017-01-09,1.242
2017-01-10,1.064
2017-01-11,1.153
2017-01-12,0.621
2017-01-13,1.153
2017-01-14,0.798
2017-01-15,0.709
2017-01-16,0.709
2017-01-17,0.798
2017-01-18,0.976
2017-01-19,1.508
2017-01-20,1.242
2017-01-21,1.242
2017-01-22,1.419
2017-01-23,0.976
2017-01-24,1.064
2017-01-25,0.887
2017-01-26,1.153
2017-01-27,1.33
2017-01-28,1.419
2017-01-29,1.242
2017-01-30,1.33
2017-01-31,1.153
2017-02-01,1.198
2017-02-02,1.796
2017-02-03,2.224
2017-02-04,1.369
2017-02-05,1.454
2017-02-06,1.711
2017-02-07,1.882
2017-02-08,1.454
2017-02-09,0.855
2017-02-10,0.941
2017-02-11,1.882
2017-02-12,1.625
2017-02-13,1.369
2017-02-14,1.625
2017-02-15,1.711
2017-02-16,2.224
2017-02-17,1.54
2017-02-18,1.369
2017-02-19,0.941
2017-02-20,2.395
2017-02-21,1.796
2017-02-22,1.796
2017-02-23,1.967
2017-02-24,1.796
2017-02-25,1.026
2017-02-26,1.54
2017-02-27,1.625
2017-02-28,2.481
2017-03-01,2.274
2017-03-02,2.012
2017-03-03,2.099
2017-03-04,2.274
2017-03-05,1.662
2017-03-06,1.662
2017-03-07,2.012
2017-03-08,2.799
2017-03-09,2.711
2017-03-10,2.536
2017-03-11,3.061
2017-03-12,3.411
2017-03-13,2.799
2017-03-14,3.061
2017-03-15,3.061
2017-03-16,3.061
2017-03-17,3.061
2017-03-18,2.711
2017-03-19,2.886
2017-03-20,2.711
2017-03-21,2.711
2017-03-22,1.837
2017-03-23,2.711
2017-03-24,2.012
2017-03-25,2.099
2017-03-26,1.837
2017-03-27,3.149
2017-03-28,4.286
2017-03-29,3.411
2017-03-30,3.498
2017-03-31,4.985
2017-04-01,3.608
2017-04-02,3.952
2017-04-03,4.639
2017-04-04,3.608
2017-04-05,3.78
2017-04-06,2.921
2017-04-07,2.491
2017-04-08,2.32
2017-04-09,3.522
2017-04-10,3.78
2017-04-11,3.265
2017-04-12,4.21
2017-04-13,2.921
2017-04-14,4.21
2017-04-15,3.78
2017-04-16,2.32
2017-04-17,2.406
2017-04-18,2.663
2017-04-19,3.694
2017-04-20,4.725
2017-04-21,4.897
2017-04-22,4.038
2017-04-23,4.725
2017-04-24,2.921
2017-04-25,4.296
2017-04-26,1.976
2017-04-27,4.639
2017-04-28,6.186
2017-04-29,5.67
2017-04-30,5.241
2017-05-01,7.352
2017-05-02,7.096
2017-05-03,5.728
2017-05-04,5.386
2017-05-05,4.959
2017-05-06,3.762
2017-05-07,3.762
2017-05-08,5.13
2017-05-09,5.813
2017-05-10,4.873
2017-05-11,4.959
2017-05-12,5.215
2017-05-13,5.301
2017-05-14,5.044
2017-05-15,5.215
2017-05-16,3.334
2017-05-17,6.07
2017-05-18,6.668
2017-05-19,5.557
2017-05-20,6.155
2017-05-21,5.984
2017-05-22,6.925
2017-05-23,7.352
2017-05-24,5.813
2017-05-25,5.13
2017-05-26,4.617
2017-05-27,5.557
2017-05-28,6.155
2017-05-29,6.07
2017-05-30,5.899
2017-05-31,4.959
2017-06-01,5.924
2017-06-02,6.601
2017-06-03,6.432
2017-06-04,6.94
2017-06-05,6.77
2017-06-06,7.109
2017-06-07,6.178
2017-06-08,2.708
2017-06-09,3.385
2017-06-10,5.416
2017-06-11,4.824
2017-06-12,4.739
2017-06-13,6.347
2017-06-14,6.94
2017-06-15,7.786
2017-06-16,8.294
2017-06-17,8.802
2017-06-18,8.209
2017-06-19,8.802
2017-06-20,8.717
2017-06-21,8.124
2017-06-22,8.378
2017-06-23,8.04
2017-06-24,7.024
2017-06-25,6.686
2017-06-26,6.601
2017-06-27,6.94
2017-06-28,7.194
2017-06-29,7.786
2017-06-30,7.363
2017-07-01,6.303
2017-07-02,6.808
2017-07-03,6.555
2017-07-04,6.892
2017-07-05,6.639
2017-07-06,8.488
2017-07-07,10.085
2017-07-08,9.749
2017-07-09,8.236
2017-07-10,7.564
2017-07-11,7.144
2017-07-12,6.639
2017-07-13,7.06
2017-07-14,7.564
2017-07-15,8.236
2017-07-16,8.825
2017-07-17,8.825
2017-07-18,7.144
2017-07-19,7.564
2017-07-20,7.648
2017-07-21,7.984
2017-07-22,7.564
2017-07-23,7.648
2017-07-24,6.471
2017-07-25,6.303
2017-07-26,6.387
2017-07-27,7.564
2017-07-28,8.236
2017-07-29,7.564
2017-07-30,7.564
2017-07-31,7.564
2017-08-01,8.418
2017-08-02,7.345
2017-08-03,6.107
2017-08-04,5.695
2017-08-05,7.098
2017-08-06,6.52
2017-08-07,6.355
2017-08-08,6.437
2017-08-09,6.355
2017-08-10,6.52
2017-08-11,7.098
2017-08-12,7.428
2017-08-13,6.685
2017-08-14,4.869
2017-08-15,4.869
2017-08-16,5.365
2017-08-17,5.777
2017-08-18,6.52
2017-08-19,6.437
2017-08-20,5.695
2017-08-21,5.53
2017-08-22,6.025
2017-08-23,6.107
2017-08-24,5.942
2017-08-25,6.355
2017-08-26,7.015
2017-08-27,7.923
2017-08-28,6.685
2017-08-29,6.933
2017-08-30,7.18
2017-08-31,6.768
2017-09-01,6.293
2017-09-02,5.884
2017-09-03,7.355
2017-09-04,6.293
2017-09-05,4.904
2017-09-06,5.067
2017-09-07,4.005
2017-09-08,4.904
2017-09-09,4.74
2017-09-10,5.312
2017-09-11,5.557
2017-09-12,5.149
2017-09-13,4.168
2017-09-14,3.841
2017-09-15,4.413
2017-09-16,4.25
2017-09-17,5.23
2017-09-18,4.658
2017-09-19,3.841
2017-09-20,3.923
2017-09-21,3.269
2017-09-22,3.514
2017-09-23,4.413
2017-09-24,4.331
2017-09-25,4.25
2017-09-26,4.658
2017-09-27,3.432
2017-09-28,4.331
2017-09-29,4.413
2017-09-30,4.577
2017-10-01,6.102
2017-10-02,5.758
2017-10-03,4.641
2017-10-04,4.641
2017-10-05,4.898
2017-10-06,3.781
2017-10-07,4.383
2017-10-08,5.93
2017-10-09,4.297
2017-10-10,3.266
2017-10-11,4.297
2017-10-12,4.727
2017-10-13,4.898
2017-10-14,3.781
2017-10-15,2.578
2017-10-16,3.266
2017-10-17,3.609
2017-10-18,4.297
2017-10-19,2.75
2017-10-20,2.063
2017-10-21,2.922
2017-10-22,3.352
2017-10-23,2.492
2017-10-24,2.32
2017-10-25,2.664
2017-10-26,3.18
2017-10-27,3.781
2017-10-28,2.922
2017-10-29,2.836
2017-10-30,2.063
2017-10-31,1.805
2017-11-01,1.937
2017-11-02,1.6
2017-11-03,1.684
2017-11-04,1.011
2017-11-05,1.516
2017-11-06,1.769
2017-11-07,1.684
2017-11-08,2.106
2017-11-09,1.937
2017-11-10,1.853
2017-11-11,1.6
2017-11-12,1.348
2017-11-13,1.348
2017-11-14,1.684
2017-11-15,2.106
2017-11-16,0.59
2017-11-17,1.011
2017-11-18,1.263
2017-11-19,0.926
2017-11-20,1.432
2017-11-21,1.011
2017-11-22,0.926
2017-11-23,1.684
2017-11-24,1.937
2017-11-25,1.6
2017-11-26,1.432
2017-11-27,0.926
2017-11-28,1.263
2017-11-29,1.263
2017-11-30,1.348
2017-12-01,1.226
2017-12-02,0.875
2017-12-03,1.838
2017-12-04,2.101
2017-12-05,1.663
2017-12-06,1.226
2017-12-07,1.226
2017-12-08,1.226
2017-12-09,0.788
2017-12-10,1.051
2017-12-11,0.788
2017-12-12,0.788
2017-12-13,0.875
2017-12-14,1.576
2017-12-15,1.226
2017-12-16,3.589
2017-12-17,1.926
2017-12-18,1.663
2017-12-19,1.138
2017-12-20,1.488
2017-12-21,1.226
2017-12-22,1.138
2017-12-23,1.051
2017-12-24,1.051
2017-12-25,1.488
2017-12-26,1.226
2017-12-27,1.313
2017-12-28,1.051
2017-12-29,0.788
2017-12-30,0.7
2017-12-31,0.875
2018-01-01,1.064
2018-01-02,0.976
2018-01-03,1.064
2018-01-04,1.951
2018-01-05,1.064
2018-01-06,0.621
2018-01-07,0.887
2018-01-08,0.709
2018-01-09,0.621
2018-01-10,0.798
2018-01-11,0.976
2018-01-12,0.709
2018-01-13,0.887
2018-01-14,0.887
2018-01-15,0.709
2018-01-16,0.798
2018-01-17,0.709
2018-01-18,0.621
2018-01-19,1.33
2018-01-20,1.596
2018-01-21,1.242
2018-01-22,1.508
2018-01-23,0.887
2018-01-24,1.242
2018-01-25,0.976
2018-01-26,1.242
2018-01-27,2.04
2018-01-28,1.064
2018-01-29,1.242
2018-01-30,1.242
2018-01-31,1.508
2018-02-01,1.967
2018-02-02,1.711
2018-02-03,1.796
2018-02-04,1.454
2018-02-05,2.053
2018-02-06,2.481
2018-02-07,1.796
2018-02-08,1.882
2018-02-09,2.481
2018-02-10,3.079
2018-02-11,2.138
2018-02-12,2.138
2018-02-13,2.053
2018-02-14,2.138
2018-02-15,2.823
2018-02-16,2.224
2018-02-17,1.711
2018-02-18,2.481
2018-02-19,2.138
2018-02-20,1.882
2018-02-21,1.796
2018-02-22,1.882
2018-02-23,2.395
2018-02-24,2.138
2018-02-25,2.481
2018-02-26,1.112
2018-02-27,2.224
2018-02-28,2.224
2018-03-01,1.574
2018-03-02,2.099
2018-03-03,1.487
2018-03-04,1.924
2018-03-05,2.274
2018-03-06,2.099
2018-03-07,2.449
2018-03-08,3.061
2018-03-09,2.624
2018-03-10,1.574
2018-03-11,2.361
2018-03-12,2.799
2018-03-13,1.837
2018-03-14,1.662
2018-03-15,2.099
2018-03-16,1.837
2018-03-17,1.924
2018-03-18,2.187
2018-03-19,2.536
2018-03-20,2.099
2018-03-21,2.624
2018-03-22,1.749
2018-03-23,2.886
2018-03-24,2.099
2018-03-25,2.624
2018-03-26,3.936
2018-03-27,3.848
2018-03-28,3.498
2018-03-29,4.286
2018-03-30,3.761
2018-03-31,4.023
2018-04-01,4.296
2018-04-02,4.21
2018-04-03,4.296
2018-04-04,3.694
2018-04-05,3.437
2018-04-06,1.804
2018-04-07,3.093
2018-04-08,4.038
2018-04-09,3.866
2018-04-10,3.437
2018-04-11,3.265
2018-04-12,3.608
2018-04-13,4.639
2018-04-14,3.866
2018-04-15,3.522
2018-04-16,2.32
2018-04-17,3.437
2018-04-18,3.437
2018-04-19,4.553
2018-04-20,4.725
2018-04-21,4.553
2018-04-22,5.155
2018-04-23,5.155
2018-04-24,5.327
2018-04-25,5.327
2018-04-26,5.069
2018-04-27,4.553
2018-04-28,4.21
2018-04-29,3.866
2018-04-30,4.21
2018-05-01,4.959
2018-05-02,4.959
2018-05-03,5.301
2018-05-04,5.728
2018-05-05,5.13
2018-05-06,5.215
2018-05-07,6.326
2018-05-08,6.326
2018-05-09,5.728
2018-05-10,5.984
2018-05-11,6.754
2018-05-12,6.497
2018-05-13,5.728
2018-05-14,5.472
2018-05-15,5.472
2018-05-16,4.446
2018-05-17,5.899
2018-05-18,6.07
2018-05-19,5.642
2018-05-20,4.959
2018-05-21,5.728
2018-05-22,5.472
2018-05-23,5.301
2018-05-24,5.13
2018-05-25,2.992
2018-05-26,4.788
2018-05-27,6.241
2018-05-28,7.096
2018-05-29,7.096
2018-05-30,5.642
2018-05-31,4.959
2018-06-01,6.432
2018-06-02,6.855
2018-06-03,7.786
2018-06-04,8.124
2018-06-05,6.77
2018-06-06,6.009
2018-06-07,6.263
2018-06-08,7.278
2018-06-09,5.924
2018-06-10,7.617
2018-06-11,7.871
2018-06-12,8.04
2018-06-13,8.209
2018-06-14,7.109
2018-06-15,6.009
2018-06-16,5.755
2018-06-17,4.993
2018-06-18,7.278
2018-06-19,7.109
2018-06-20,7.278
2018-06-21,7.701
2018-06-22,8.802
2018-06-23,9.225
2018-06-24,8.463
2018-06-25,6.601
2018-06-26,7.871
2018-06-27,7.024
2018-06-28,6.77
2018-06-29,8.124
2018-06-30,8.124
2018-07-01,8.657
2018-07-02,7.144
2018-07-03,6.135
2018-07-04,5.715
2018-07-05,6.219
2018-07-06,8.488
2018-07-07,8.993
2018-07-08,9.077
2018-07-09,8.909
2018-07-10,8.404
2018-07-11,7.144
2018-07-12,6.724
2018-07-13,7.816
2018-07-14,7.9
2018-07-15,7.984
2018-07-16,8.488
2018-07-17,8.572
2018-07-18,8.404
2018-07-19,7.816
2018-07-20,7.564
2018-07-21,7.228
2018-07-22,7.648
2018-07-23,8.068
2018-07-24,8.404
2018-07-25,9.413
2018-07-26,9.329
2018-07-27,8.488
2018-07-28,7.984
2018-07-29,7.648
2018-07-30,7.732
2018-07-31,7.312
2018-08-01,7.51
2018-08-02,7.758
2018-08-03,7.263
2018-08-04,8.583
2018-08-05,7.098
2018-08-06,7.758
2018-08-07,7.015
2018-08-08,6.933
2018-08-09,6.52
2018-08-10,8.253
2018-08-11,7.51
2018-08-12,7.098
2018-08-13,6.685
2018-08-14,6.437
2018-08-15,5.942
2018-08-16,6.437
2018-08-17,7.345
2018-08-18,7.593
2018-08-19,7.428
2018-08-20,6.19
2018-08-21,5.117
2018-08-22,5.199
2018-08-23,5.034
2018-08-24,4.869
2018-08-25,5.199
2018-08-26,5.695
2018-08-27,4.952
2018-08-28,4.457
2018-08-29,4.622
2018-08-30,4.539
2018-08-31,5.612
2018-09-01,5.639
2018-09-02,5.884
2018-09-03,5.884
2018-09-04,5.966
2018-09-05,5.803
2018-09-06,5.639
2018-09-07,6.211
2018-09-08,6.129
2018-09-09,6.048
2018-09-10,5.803
2018-09-11,5.966
2018-09-12,4.822
2018-09-13,4.005
2018-09-14,4.495
2018-09-15,4.985
2018-09-16,4.577
2018-09-17,4.495
2018-09-18,4.658
2018-09-19,5.149
2018-09-20,4.985
2018-09-21,5.149
2018-09-22,5.476
2018-09-23,5.476
2018-09-24,5.312
2018-09-25,5.312
2018-09-26,5.476
2018-09-27,4.904
2018-09-28,4.25
2018-09-29,3.106
2018-09-30,3.106
2018-10-01,4.125
2018-10-02,3.266
2018-10-03,1.977
2018-10-04,2.063
2018-10-05,3.18
2018-10-06,4.383
2018-10-07,5.672
2018-10-08,4.125
2018-10-09,3.781
2018-10-10,2.75
2018-10-11,3.094
2018-10-12,4.383
2018-10-13,4.211
2018-10-14,4.383
2018-10-15,3.867
2018-10-16,3.867
2018-10-17,3.008
2018-10-18,3.094
2018-10-19,2.406
2018-10-20,2.406
2018-10-21,3.781
2018-10-22,3.266
2018-10-23,2.75
2018-10-24,2.922
2018-10-25,3.523
2018-10-26,2.922
2018-10-27,2.836
2018-10-28,3.18
2018-10-29,3.008
2018-10-30,3.953
